"location","city","country","distance","measurements__parameter","measurements__value","measurements__lastUpdated","measurements__unit","measurements__sourceName","measurements__averagingPeriod__value","measurements__averagingPeriod__unit","coordinates__latitude","coordinates__longitude"
" 淮河道","天津市","CN","5704028.056387373","so2","19","2019-03-19T06:00:00.000Z","µg/m³","ChinaAQIData","1","hours","39.2133","117.1837"
"","","","","co","600","2019-03-19T07:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","pm25","76","2019-03-19T06:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","pm10","110","2019-03-19T06:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","o3","191","2019-03-19T07:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","no2","23","2019-03-19T06:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"(Folkungagatan tillfälligt avstängd)","Stockholm","SE","","no2","-99","2018-04-04T15:00:00.000Z","µg/m³","Sweden","1","hours","",""
"","","","","pm10","-99","2018-04-04T15:00:00.000Z","µg/m³","Sweden","1","hours","",""
"1-r khoroolol","Ulaanbaatar","MN","4592160.914890533","no2","30","2019-03-13T21:45:00.000Z","µg/m³","Agaar.mn","","","47.91798","106.84806"
"","","","","pm10","199","2019-03-13T21:45:00.000Z","µg/m³","Agaar.mn","","","",""
"","","","","pm25","217","2019-03-13T21:45:00.000Z","µg/m³","Agaar.mn","","","",""
"","","","","so2","21","2019-03-13T21:45:00.000Z","µg/m³","Agaar.mn","","","",""
"","","","","co","57","2019-03-13T21:45:00.000Z","µg/m³","Agaar.mn","","","",""
"100 ail","Ulaanbaatar","MN","4597091.796336512","pm10","93","2019-03-13T22:00:00.000Z","µg/m³","Agaar.mn","","","47.932907","106.92139"
"","","","","o3","14","2019-03-13T22:00:00.000Z","µg/m³","Agaar.mn","","","",""
"","","","","no2","3","2019-03-07T10:00:00.000Z","µg/m³","Agaar.mn","","","",""
"","","","","co","16","2019-03-13T22:00:00.000Z","µg/m³","Agaar.mn","","","",""
"","","","","so2","7","2019-03-13T22:00:00.000Z","µg/m³","Agaar.mn","","","",""
"16th and Whitmore","Omaha-Council Bluffs","US","10142997.9653531","so2","0","2020-02-14T16:00:00.000Z","ppm","AirNow","1","hours","41.32247","-95.93799"
"","","","","o3","0.016","2017-11-01T11:00:00.000Z","ppm","AirNow","1","hours","",""
"1NL Navajo Lake","Farmington","US","10988280.442197684","o3","0.024","2017-01-13T15:00:00.000Z","ppm","AirNow","1","hours","36.8097","-107.6517"
"1号","平度市","CN","6043095.229057087","co","600","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","36.792","119.952"
"","","","","so2","5","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","no2","13","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","o3","78","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","pm25","4","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","pm10","11","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"21 de Mayo","Huasco","CL","14423872.203259649","pm25","9.65","2020-02-03T23:00:00.000Z","µg/m³","Chile - SINCA","","","-28.467794","-71.227295"
"","","","","pm10","30.92","2020-02-03T22:00:00.000Z","µg/m³","Chile - SINCA","","","",""
"21 de mayo","21 de mayo","CL","14989630.990811372","pm25","4","2020-02-04T13:00:00.000Z","µg/m³","Chile - SINCA","","","-37.471184","-72.361465"
"","","","","pm10","17","2020-02-04T12:00:00.000Z","µg/m³","Chile - SINCA","","","",""
"","","","","pm25","5","2020-02-14T17:00:00.000Z","µg/m³","Chile - SINCA","","","",""
"","","","","pm10","26","2020-02-14T16:00:00.000Z","µg/m³","Chile - SINCA","","","",""
"22nd Street & Craycr","Tucson","US","11564704.438235687","o3","0.024","2020-02-14T16:00:00.000Z","ppm","AirNow","1","hours","32.205","-110.8772"
"22中南校区","石家庄市","CN","5555312.869532293","pm25","28","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","38.037777","114.54806"
"","","","","pm10","38","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","no2","5","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","co","400","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","o3","59","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","so2","6","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"24th & O","Omaha-Council Bluffs","US","10154766.986177823","o3","0.012","2017-11-01T11:00:00.000Z","ppm","AirNow","1","hours","41.208084","-95.94744"
"2912 Coffey","Omaha-Council Bluffs","US","10162551.255486589","pm25","5","2020-02-14T16:00:00.000Z","µg/m³","AirNow","1","hours","41.133316","-95.95608"
"2LL Los Lunas","Albuquerque","US","11172510.433051916","o3","0.015","2020-02-14T16:00:00.000Z","ppm","AirNow","1","hours","34.8147","-106.7397"
"2号","平度市","CN","6044600.502245186","pm10","7","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","36.799","119.976"
"","","","","pm25","21","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","so2","5","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","co","600","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","no2","5","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","o3","77","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"2号子站","胶南市","CN","6099317.637651569","so2","2","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","35.872","120.039"
"","","","","co","500","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","o3","86","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","no2","12","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","pm25","5","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"","","","","pm10","5","2020-02-14T17:00:00.000Z","µg/m³","ChinaAQIData","1","hours","",""
"40AB01 - ANTWERPEN","Flanders","BE","3484806.5103123826","pm25","10","2017-03-07T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.281013","4.329848"
"40AB02 - BERENDRECHT","Flanders","BE","3485496.35322404","pm10","39.2","2017-03-13T12:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.34073","4.3218203"
"","","","","pm25","31","2017-03-13T12:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"40AL01 - LINKEROEVER","Flanders","BE","3480858.911467223","pm10","16.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.236195","4.385224"
"","","","","pm25","5.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"40AL04 - BEVEREN","Flanders","BE","3487366.8904479714","pm25","40.5","2017-06-28T08:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.29067","4.2933292"
"40GK06 - GENK","Flanders","BE","3404292.329017633","pm25","4","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.92789","5.47062"
"","","","","pm10","16.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"40GK09 - GENK","Flanders","BE","3402757.4798055566","so2","3","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.93463","5.4927883"
"","","","","no2","46","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"40HB23 - HOBOKEN","Flanders","BE","3483813.5448172768","pm10","17.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.1703","4.341005"
"","","","","pm25","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","12","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"40LD01 - LAAKDAL","Flanders","BE","3437360.9245146485","no2","0.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.109978","5.004864"
"40LD02 - LAAKDAL","Flanders","BE","3436223.9845226444","no2","8","2017-07-13T14:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.120384","5.021546"
"40OB01 - OOSTROZEBEK","Flanders","BE","3555945.474570263","pm10","53.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.91723","3.3073857"
"","","","","pm25","40","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"40OB02 - WIELSBEKE","Flanders","BE","3551120.2925184006","pm25","5.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.91495","3.3762116"
"","","","","pm10","15.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"40R833 - STABROEK","Flanders","BE","3482656.4324792726","no2","14","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.32766","4.362261"
"40RL01 - ROESELARE","Flanders","BE","3568975.323820687","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.95318","3.1211555"
"","","","","pm10","16.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"40SZ01 - STEENOKKERZ","Flanders","BE","3472019.2632937375","no2","10","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.914577","4.5041833"
"","","","","pm25","4","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"40SZ02 - STEENOKKERZ","Flanders","BE","3471456.3161799507","pm25","4","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.91302","4.512184"
"","","","","pm10","13.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","26","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"40TS21 - TESSENDERLO","Flanders","BE","3430073.2982216654","so2","2","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.06571","5.1075363"
"40WZ02 - MOL","Flanders","BE","3422490.952499286","so2","0.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.1928","5.2215343"
"41B004 - STE.CATHERI","Brussels","BE","3482874.473212","no2","14","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.85081","4.3485875"
"","","","","o3","41","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","11","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41B011 - BERCHEM S.A","Brussels","BE","3487110.4815704613","o3","57.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.858032","4.2883363"
"","","","","pm10","11.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","4","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","5.05","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41MEU1 - MEUDON","Brussels","BE","3479815.9429166582","pm25","34.2","2017-03-13T12:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.8951","4.392718"
"","","","","pm10","8","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","4.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41N043 - HAREN","Brussels","BE","3480489.3402546584","so2","12.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.88356","4.382963"
"","","","","no2","14.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","2.5","2017-07-20T19:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","2.35","2017-07-20T19:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","12","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","52","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41R001 - MOLENBEEK","Brussels","BE","3483910.6247925353","no2","10","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.849667","4.33382"
"","","","","o3","49.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","15","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","11.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","12.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","4.6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41R002 - IXELLES","Brussels","BE","3480316.9886825485","no2","30.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.825127","4.384719"
"","","","","so2","3.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","12","2017-07-20T21:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41R012 - UCCLE","Brussels","BE","3482137.583492582","pm10","14.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.79663","4.3585386"
"","","","","pm25","5.45","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","49.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41WOL1 - WOL.ST.L.","Brussels","BE","3477464.426897468","co","10","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.85658","4.4257035"
"","","","","o3","48","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","11","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","12","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","4","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42M802 - ANTWERPEN","Flanders","BE","3478184.748463985","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.26099","4.424399"
"","","","","pm10","17.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","3.5","2017-03-14T11:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","15.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N016 - DESSEL","Flanders","BE","3426632.2042748597","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.233654","5.163979"
"","","","","o3","50.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","10","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","15.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N027 - BREE","Flanders","BE","3395437.461146843","o3","47","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.133717","5.6066594"
"","","","","no2","13.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N035 - AARSCHOT","Flanders","BE","3448753.360591056","o3","56.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.977543","4.837618"
"","","","","no2","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","14.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","4.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N040 - ST.P.LEEUWG","Flanders","BE","3491501.7866927255","no2","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.76814","4.2251945"
"","","","","o3","48","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N045 - HASSELT","Flanders","BE","3411489.0585208638","o3","2.5","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.939713","5.3683786"
"","","","","no2","49.5","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","38.7","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","25","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N046 - GELLIK","Flanders","BE","3393769.489838498","no2","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.882298","5.618874"
"","","","","o3","45.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N054 - WALSHOUTEM","Flanders","BE","3429652.687716414","o3","38","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.711704","5.1031585"
"","","","","no2","13","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","4","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","16.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R010 - ST.STEVENSW","Flanders","BE","3477281.1181666977","no2","6.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.86511","4.428427"
"42R020 - VILVOORDE","Flanders","BE","3476780.976483414","no2","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.941387","4.436721"
"","","","","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","4.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","14.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R801 - BORGERHOUT","Flanders","BE","3477558.893786227","no2","23","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.209663","4.431821"
"","","","","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","17.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","33.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R802 - BORGERHOUT","Flanders","BE","3477560.6004453595","pm10","17.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.20952","4.4317923"
"","","","","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","31","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","14","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R803 - ANTWERPEN","Flanders","BE","3477832.7754971962","no2","20.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.22863","4.4284544"
"","","","","pm25","5.58","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","16.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
