"location","city","country","distance","measurements__parameter","measurements__value","measurements__lastUpdated","measurements__unit","measurements__sourceName","measurements__averagingPeriod__value","measurements__averagingPeriod__unit","coordinates__latitude","coordinates__longitude"
"42R805 - ANTWERPEN","Flanders","BE","3478270.924174585","no2","23","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.20823","4.4215593"
"","","","","pm10","14.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","4.65","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R811 - SCHOTEN","Flanders","BE","3473504.3984240782","pm25","5.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.2521","4.491362"
"","","","","pm10","14.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","55.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","8.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R815 - ZWIJNDRECHT","Flanders","BE","3484508.7845393987","pm10","13.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.2147","4.3322062"
"","","","","pm25","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","8","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-03-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R817 - ANTWERPEN","Flanders","BE","3478461.1355101615","no2","9.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.17713","4.4179487"
"","","","","pm25","4.65","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","14.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R820 - KAPELLEN","Flanders","BE","3476902.621599735","so2","2.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.320415","4.4448104"
"","","","","no2","17","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R822 - ANTWERPEN","Flanders","BE","3483976.010548174","no2","23.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.26429","4.34128"
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R830 - DOEL","Flanders","BE","3489559.2271296433","so2","8","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.31823","4.262634"
"","","","","no2","4.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R831 - BERENDRECHT","Flanders","BE","3484272.4383104285","no2","11","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.348797","4.3397098"
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","54.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R834 - Boom","Flanders","BE","3480952.600409115","no2","12","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.092","4.3801036"
"","","","","pm25","4.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","13.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R841 - MECHELEN","Flanders","BE","3474578.5272676274","o3","3","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.002525","4.4693213"
"","","","","pm25","24.5","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","30.7","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","44.5","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R891 - ANTWERPEN","Flanders","BE","3480890.4772064392","no2","30","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.255806","4.38536"
"","","","","so2","11","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R892 - KALLO","Flanders","BE","3488315.1315368265","so2","2.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.26304","4.27889"
"","","","","no2","18","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R893 - ANTWERPEN","Flanders","BE","3480917.2453707233","so2","14.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.28138","4.385771"
"","","","","no2","42.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R894 - ANTWERPEN","Flanders","BE","3483445.1172235226","so2","3.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.2835","4.349496"
"","","","","no2","34.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R897 - ANTWERPEN","Flanders","BE","3483889.4098805366","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.250107","4.3421044"
"","","","","no2","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43H201 - LIEGE","Wallonia","BE","3398188.1144903256","pm25","3.62","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.624992","5.5474644"
"","","","","pm10","10.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","0.5","2016-12-21T13:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43M204 - ANGLEUR","Wallonia","BE","3393669.4164609355","pm10","16.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.611923","5.61115"
"","","","","pm25","4.1035","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N060 - HAVINNES","Wallonia","BE","3545659.696212799","co","12","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.61672","3.4576244"
"","","","","o3","49.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","5.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","0.719","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","10.271","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N063 - CORROY L.G.","Wallonia","BE","3460239.6546918377","co","10.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.655437","4.6682878"
"","","","","so2","1.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","0.719","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","8.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","53.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","7.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N066 - EUPEN","Wallonia","BE","3366107.7508183173","no2","5.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.62886","6.002329"
"","","","","o3","44.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N067 - MEMBACH","Wallonia","BE","3366741.034103011","pm10","9.271","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.612278","5.9927526"
"","","","","pm25","1.686","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N070 - MONS","Wallonia","BE","3511761.799905533","no2","16","2017-07-19T01:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.46519","3.9397144"
"","","","","o3","41","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","12.271","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","1.686","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-01-06T09:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N073 - VEZIN","Wallonia","BE","3437532.0580925415","o3","32.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.502716","4.988423"
"","","","","no2","8.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","1.686","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","5.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N085 - VIELSALM","Wallonia","BE","3365483.2169153104","pm10","6.271","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.303207","6.001736"
"","","","","pm25","2.1695","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","8","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","44.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N093 - SINSIN","Wallonia","BE","3419933.4729489596","pm10","9.271","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.27448","5.2351685"
"","","","","no2","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","44","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","3.62","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N100 - DOURBES","Wallonia","BE","3465635.1640629154","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.095684","4.594763"
"","","","","no2","2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","54","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","2.653","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","15.271","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N113 - SAINT-ODE","Wallonia","BE","3394400.2842570106","pm25","1.2025","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.027027","5.593017"
"","","","","pm10","4.271","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","45.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","3","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N121 - OFFAGNE","Wallonia","BE","3422440.4587996984","no2","4.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","49.87713","5.2023873"
"","","","","o3","44.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","3.1365","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","7.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43N132 - HABAY-LA-N.","Wallonia","BE","3391875.764568538","o3","40","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","49.71928","5.630398"
"","","","","co","10","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","0.719","2017-07-20T14:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","1.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","1.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43R221 - LIEGE","Wallonia","BE","3392586.396669616","no2","20.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.658443","5.6278353"
"","","","","pm10","12.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","2.653","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","32.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2016-12-21T13:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43R222 - SERAING","Wallonia","BE","3396560.5285237953","pm25","3.62","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.61341","5.570223"
"","","","","pm10","15.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","10","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","36.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","11.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43R223 - JEMEPPE","Wallonia","BE","3400371.63445997","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.62067","5.5164046"
"","","","","pm25","8.925","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","12.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","26.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","12.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"43R240 - ENGIS","Wallonia","BE","3408707.3753867033","so2","3.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.583614","5.397446"
"","","","","no2","10","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","40","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","19.771","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","3.62","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44M702 - ERTVELDE","Flanders","BE","3524178.092830987","no2","6.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.166023","3.7621374"
"44M705 - ROESELARE","Flanders","BE","3566791.574672852","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.94536","3.1524017"
"","","","","pm10","14.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","55","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44N012 - MOERKERKE","Flanders","BE","3552085.4894983233","o3","57","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.254574","3.362536"
"","","","","pm10","16.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44N029 - HOUTEM","Flanders","BE","3606637.0987341255","pm25","5.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.01628","2.5823228"
"","","","","pm10","13.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","53","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","4","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44N051 - IDEGEM","Flanders","BE","3512245.4126287405","no2","4","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.798916","3.9302933"
"","","","","o3","58.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44N052 - ZWEVEGEM","Flanders","BE","3554960.0010120855","no2","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.814873","3.3224943"
"","","","","pm10","14.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","54","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44R701 - GENT","Flanders","BE","3526397.4187239436","pm10","127.2","2017-07-20T21:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.05833","3.729298"
"","","","","pm25","29","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","35","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","10.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","24","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44R702 - Gent (G.Carlierlaan)","Flanders","BE","3525992.456312892","pm10","15.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.040688","3.7349715"
"","","","","no2","14.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44R710 - DESTELBERGE","Flanders","BE","3523185.6981927636","no2","6.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.06128","3.7752624"
"","","","","o3","54","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","17.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44R721 - WONDELGEM","Flanders","BE","3527334.648992485","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.08896","3.7161193"
"","","","","no2","6.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44R731 - EVERGEM","Flanders","BE","3525724.4254721906","no2","11.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.12469","3.7395043"
"","","","","pm10","16.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44R740 - ST.KRUIS-WI","Flanders","BE","3520913.3560488517","so2","1.5","2017-01-06T09:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.150135","3.8087354"
"","","","","no2","12.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","45.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","16.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"44R750 - ZELZATE","Flanders","BE","3519969.385892701","co","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.196064","3.82292"
"","","","","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","15","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","11","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
